,Unnamed: 0,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Transaction Date,Month,Month_num,Year,Location_Takeaway,Payment Method_Credit Card,Payment Method_Digital Wallet,Spent Per Item,Total_Item_Revenue_x,Total_Item_Revenue_y,Total_Item_Revenue
0,0,TXN_1961373,Coffee,2.0,2.0,4.0,2023-09-08,2023-09-01,9,2023,True,True,False,2.0,2242.0,2242.0,2242.0
1,1,TXN_4977031,Cake,4.0,3.0,12.0,2023-05-16,2023-05-01,5,2023,False,False,False,3.0,3519.0,3519.0,3519.0
2,4,TXN_3160411,Coffee,2.0,2.0,4.0,2023-06-11,2023-06-01,6,2023,False,False,True,2.0,2242.0,2242.0,2242.0
3,10,TXN_2548360,Salad,5.0,5.0,25.0,2023-11-07,2023-11-01,11,2023,True,False,False,5.0,6360.0,6360.0,6360.0
4,12,TXN_7619095,Sandwich,2.0,4.0,8.0,2023-05-03,2023-05-01,5,2023,False,False,False,4.0,4772.0,4772.0,4772.0
5,15,TXN_2847255,Salad,3.0,5.0,15.0,2023-11-15,2023-11-01,11,2023,False,True,False,5.0,6360.0,6360.0,6360.0
6,17,TXN_6769710,Juice,2.0,3.0,6.0,2023-02-24,2023-02-01,2,2023,False,False,False,3.0,3735.0,3735.0,3735.0
7,19,TXN_3709394,Juice,4.0,3.0,12.0,2023-01-15,2023-01-01,1,2023,True,False,False,3.0,3735.0,3735.0,3735.0
8,21,TXN_3567645,Smoothie,4.0,4.0,16.0,2023-03-30,2023-03-01,3,2023,True,True,False,4.0,4088.0,4088.0,4088.0
9,22,TXN_5132361,Sandwich,3.0,4.0,12.0,2023-12-01,2023-12-01,12,2023,True,False,True,4.0,4772.0,4772.0,4772.0
10,24,TXN_9400181,Sandwich,5.0,4.0,20.0,2023-06-03,2023-06-01,6,2023,False,False,False,4.0,4772.0,4772.0,4772.0
11,26,TXN_5183041,Cookie,5.0,1.0,5.0,2023-04-20,2023-04-01,4,2023,False,True,False,1.0,1163.0,1163.0,1163.0
12,27,TXN_5695074,Juice,4.0,3.0,12.0,2023-04-10,2023-04-01,4,2023,True,True,False,3.0,3735.0,3735.0,3735.0
13,34,TXN_8853997,Smoothie,2.0,4.0,8.0,2023-10-09,2023-10-01,10,2023,True,False,True,4.0,4088.0,4088.0,4088.0
14,37,TXN_1080432,Salad,2.0,5.0,10.0,2023-04-29,2023-04-01,4,2023,False,True,False,5.0,6360.0,6360.0,6360.0
