,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month
0,TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,2023-09
1,TXN_4977031,Cake,4.0,3.0,12.0,Cash,In-store,2023-05-16,2023-05
4,TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,2023-06
10,TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,2023-11
12,TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,2023-05
15,TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,2023-11
17,TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,2023-02
19,TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,2023-01
21,TXN_3567645,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,2023-03
22,TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,2023-12
24,TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,2023-06
26,TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,2023-04
27,TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,2023-04
34,TXN_8853997,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,2023-10
37,TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,2023-04
46,TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,2023-11
54,TXN_8614868,Smoothie,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,2023-12
58,TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,2023-11
67,TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,2023-10
